"model","discrete_algorithm","continuous_algorithm","particles","data_size","repetition","parameter","diagnostic","value"
"GMM","AG","HMC","5","10","1","z[10]","ess","43.254748318356675"
"GMM","AG","HMC","5","10","1","z[10]","r_hat","1.021592336903373"
"GMM","AG","HMC","5","10","1","μ[1]","ess","36.90805974920216"
"GMM","AG","HMC","5","10","1","μ[1]","r_hat","1.0200194544607548"
"GMM","AG","HMC","5","10","1","μ[2]","ess","34.23224442542543"
"GMM","AG","HMC","5","10","1","μ[2]","r_hat","1.1112424817875182"
"GMM","AG","HMC","5","10","10","w[1]","ess","29.745766568695515"
"GMM","AG","HMC","5","10","10","w[1]","r_hat","1.0247700076735649"
"GMM","AG","HMC","5","10","10","w[2]","ess","29.745766568695515"
"GMM","AG","HMC","5","10","10","w[2]","r_hat","1.0247700076735649"
"GMM","AG","HMC","5","10","10","z[1]","ess","35.42011323330596"
"GMM","AG","HMC","5","10","10","z[1]","r_hat","1.0188937766155233"
"GMM","AG","HMC","5","10","10","z[2]","ess","31.940917814062896"
"GMM","AG","HMC","5","10","10","z[2]","r_hat","1.022127823899776"
"GMM","AG","HMC","5","10","10","z[3]","ess","32.7572960148283"
"GMM","AG","HMC","5","10","10","z[3]","r_hat","1.0269930690965448"
"GMM","AG","HMC","5","10","10","z[4]","ess","34.76132474802398"
"GMM","AG","HMC","5","10","10","z[4]","r_hat","1.01936455571841"
"GMM","AG","HMC","5","10","10","z[5]","ess","43.73374838312279"
"GMM","AG","HMC","5","10","10","z[5]","r_hat","1.011982276771556"
"GMM","AG","HMC","5","10","10","z[6]","ess","32.843354882069235"
"GMM","AG","HMC","5","10","10","z[6]","r_hat","1.0225432802108465"
"GMM","AG","HMC","5","10","10","z[7]","ess","32.0234177747224"
"GMM","AG","HMC","5","10","10","z[7]","r_hat","1.0257334244415213"
"GMM","AG","HMC","5","10","10","z[8]","ess","33.169242679789235"
"GMM","AG","HMC","5","10","10","z[8]","r_hat","1.0220855105357098"
"GMM","AG","HMC","5","10","10","z[9]","ess","33.21255408282203"
"GMM","AG","HMC","5","10","10","z[9]","r_hat","1.0225029072319627"
"GMM","AG","HMC","5","10","10","z[10]","ess","31.56579246083165"
"GMM","AG","HMC","5","10","10","z[10]","r_hat","1.0272598444259746"
"GMM","AG","HMC","5","10","10","μ[1]","ess","29.656097083450998"
"GMM","AG","HMC","5","10","10","μ[1]","r_hat","1.0606283593434997"
"GMM","AG","HMC","5","10","10","μ[2]","ess","46.55059049002182"
