model,discrete_algorithm,continuous_algorithm,particles,data_size,repetition,parameter,step,value
GMM,PG,MH,5,10,2,z[4],1,1.0
GMM,PG,MH,5,10,2,z[5],1,2.0
GMM,PG,MH,5,10,2,z[6],1,1.0
GMM,PG,MH,5,10,2,z[7],1,1.0
GMM,PG,MH,5,10,2,z[8],1,1.0
GMM,PG,MH,5,10,2,z[9],1,1.0
GMM,PG,MH,5,10,2,z[10],1,1.0
GMM,PG,MH,5,10,2,μ[1],1,-8.745551182743153
GMM,PG,MH,5,10,2,μ[2],1,1.141523690581188
GMM,PG,MH,5,10,2,w[1],2,0.43120209525132214
GMM,PG,MH,5,10,2,w[2],2,0.5687979047486779
GMM,PG,MH,5,10,2,z[1],2,1.0
GMM,PG,MH,5,10,2,z[2],2,1.0
GMM,PG,MH,5,10,2,z[3],2,1.0
GMM,PG,MH,5,10,2,z[4],2,1.0
GMM,PG,MH,5,10,2,z[5],2,1.0
GMM,PG,MH,5,10,2,z[6],2,1.0
GMM,PG,MH,5,10,2,z[7],2,1.0
GMM,PG,MH,5,10,2,z[8],2,1.0
GMM,PG,MH,5,10,2,z[9],2,2.0
GMM,PG,MH,5,10,2,z[10],2,2.0
GMM,PG,MH,5,10,2,μ[1],2,-8.745551182743153
GMM,PG,MH,5,10,2,μ[2],2,1.141523690581188
GMM,PG,MH,5,10,2,w[1],3,0.43120209525132214
GMM,PG,MH,5,10,2,w[2],3,0.5687979047486779
GMM,PG,MH,5,10,2,z[1],3,1.0
GMM,PG,MH,5,10,2,z[2],3,1.0
GMM,PG,MH,5,10,2,z[3],3,1.0
GMM,PG,MH,5,10,2,z[4],3,1.0
GMM,PG,MH,5,10,2,z[5],3,2.0
GMM,PG,MH,5,10,2,z[6],3,2.0
GMM,PG,MH,5,10,2,z[7],3,1.0
GMM,PG,MH,5,10,2,z[8],3,1.0
GMM,PG,MH,5,10,2,z[9],3,1.0
GMM,PG,MH,5,10,2,z[10],3,1.0
GMM,PG,MH,5,10,2,μ[1],3,-8.745551182743153
GMM,PG,MH,5,10,2,μ[2],3,1.141523690581188
GMM,PG,MH,5,10,2,w[1],4,0.43120209525132214
GMM,PG,MH,5,10,2,w[2],4,0.5687979047486779
GMM,PG,MH,5,10,2,z[1],4,1.0
GMM,PG,MH,5,10,2,z[2],4,1.0
GMM,PG,MH,5,10,2,z[3],4,1.0
GMM,PG,MH,5,10,2,z[4],4,1.0
GMM,PG,MH,5,10,2,z[5],4,2.0
GMM,PG,MH,5,10,2,z[6],4,2.0
GMM,PG,MH,5,10,2,z[7],4,1.0
GMM,PG,MH,5,10,2,z[8],4,1.0
GMM,PG,MH,5,10,2,z[9],4,1.0
GMM,PG,MH,5,10,2,z[10],4,1.0
GMM,PG,MH,5,10,2,μ[1],4,-8.745551182743153
GMM,PG,MH,5,10,2,μ[2],4,1.141523690581188
GMM,PG,MH,5,10,2,w[1],5,0.43120209525132214
GMM,PG,MH,5,10,2,w[2],5,0.5687979047486779
GMM,PG,MH,5,10,2,z[1],5,1.0
GMM,PG,MH,5,10,2,z[2],5,1.0
GMM,PG,MH,5,10,2,z[3],5,1.0
GMM,PG,MH,5,10,2,z[4],5,1.0
GMM,PG,MH,5,10,2,z[5],5,1.0
GMM,PG,MH,5,10,2,z[6],5,2.0
GMM,PG,MH,5,10,2,z[7],5,1.0
GMM,PG,MH,5,10,2,z[8],5,1.0
GMM,PG,MH,5,10,2,z[9],5,1.0
GMM,PG,MH,5,10,2,z[10],5,1.0
GMM,PG,MH,5,10,2,μ[1],5,-8.745551182743153
GMM,PG,MH,5,10,2,μ[2],5,1.141523690581188
GMM,PG,MH,5,10,2,w[1],6,0.43120209525132214
GMM,PG,MH,5,10,2,w[2],6,0.5687979047486779
GMM,PG,MH,5,10,2,z[1],6,1.0
GMM,PG,MH,5,10,2,z[2],6,1.0
GMM,PG,MH,5,10,2,z[3],6,1.0
GMM,PG,MH,5,10,2,z[4],6,1.0
GMM,PG,MH,5,10,2,z[5],6,2.0
GMM,PG,MH,5,10,2,z[6],6,2.0
GMM,PG,MH,5,10,2,z[7],6,1.0
GMM,PG,MH,5,10,2,z[8],6,1.0
GMM,PG,MH,5,10,2,z[9],6,1.0
GMM,PG,MH,5,10,2,z[10],6,1.0
GMM,PG,MH,5,10,2,μ[1],6,-8.745551182743153
GMM,PG,MH,5,10,2,μ[2],6,1.141523690581188
GMM,PG,MH,5,10,2,w[1],7,0.43120209525132214
GMM,PG,MH,5,10,2,w[2],7,0.5687979047486779
GMM,PG,MH,5,10,2,z[1],7,1.0
GMM,PG,MH,5,10,2,z[2],7,1.0
GMM,PG,MH,5,10,2,z[3],7,1.0
GMM,PG,MH,5,10,2,z[4],7,1.0
GMM,PG,MH,5,10,2,z[5],7,1.0
GMM,PG,MH,5,10,2,z[6],7,1.0
GMM,PG,MH,5,10,2,z[7],7,1.0
GMM,PG,MH,5,10,2,z[8],7,2.0
GMM,PG,MH,5,10,2,z[9],7,1.0
GMM,PG,MH,5,10,2,z[10],7,1.0
GMM,PG,MH,5,10,2,μ[1],7,-8.745551182743153
GMM,PG,MH,5,10,2,μ[2],7,1.141523690581188
GMM,PG,MH,5,10,2,w[1],8,0.43120209525132214
GMM,PG,MH,5,10,2,w[2],8,0.5687979047486779
GMM,PG,MH,5,10,2,z[1],8,1.0
GMM,PG,MH,5,10,2,z[2],8,1.0
GMM,PG,MH,5,10,2,z[3],8,2.0
GMM,PG,MH,5,10,2,z[4],8,1.0
GMM,PG,MH,5,10,2,z[5],8,1.0
GMM,PG,MH,5,10,2,z[6],8,1.0
GMM,PG,MH,5,10,2,z[7],8,1.0
GMM,PG,MH,5,10,2,z[8],8,1.0
GMM,PG,MH,5,10,2,z[9],8,1.0
