"model","discrete_algorithm","continuous_algorithm","particles","data_size","repetition","parameter","diagnostic","value"
"GMM","PG","MH","5","10","8","μ[2]","r_hat","1.589385546882044"
"GMM","PG","MH","5","10","9","w[1]","ess","6.4147530423168915"
"GMM","PG","MH","5","10","9","w[1]","r_hat","1.083405900675735"
"GMM","PG","MH","5","10","9","w[2]","ess","6.414753042316878"
"GMM","PG","MH","5","10","9","w[2]","r_hat","1.0834059006757357"
"GMM","PG","MH","5","10","9","z[1]","ess","150.68375099217573"
"GMM","PG","MH","5","10","9","z[1]","r_hat","0.9943590900675671"
"GMM","PG","MH","5","10","9","z[2]","ess","34.78163489751121"
"GMM","PG","MH","5","10","9","z[2]","r_hat","1.021054940485262"
"GMM","PG","MH","5","10","9","z[3]","ess","114.17475728155343"
"GMM","PG","MH","5","10","9","z[3]","r_hat","1.0"
"GMM","PG","MH","5","10","9","z[4]","ess","111.77629313313572"
"GMM","PG","MH","5","10","9","z[4]","r_hat","1.0008884941779368"
"GMM","PG","MH","5","10","9","z[5]","ess","97.44593362109553"
"GMM","PG","MH","5","10","9","z[5]","r_hat","1.0070680446283795"
"GMM","PG","MH","5","10","9","z[6]","ess","16.690434732651056"
"GMM","PG","MH","5","10","9","z[6]","r_hat","1.0103629710818451"
"GMM","PG","MH","5","10","9","z[7]","ess","114.17475728155343"
"GMM","PG","MH","5","10","9","z[7]","r_hat","1.0"
"GMM","PG","MH","5","10","9","z[8]","ess","28.09467059901364"
"GMM","PG","MH","5","10","9","z[8]","r_hat","0.9899494936611666"
"GMM","PG","MH","5","10","9","z[9]","ess","46.60003918804703"
"GMM","PG","MH","5","10","9","z[9]","r_hat","0.9899494936611666"
"GMM","PG","MH","5","10","9","z[10]","ess","NaN"
"GMM","PG","MH","5","10","9","z[10]","r_hat","NaN"
"GMM","PG","MH","5","10","9","μ[1]","ess","7.282625209397944"
"GMM","PG","MH","5","10","9","μ[1]","r_hat","0.99546116074318"
"GMM","PG","MH","5","10","9","μ[2]","ess","21.54956017963205"
"GMM","PG","MH","5","10","9","μ[2]","r_hat","1.0262054444355593"
"GMM","PG","MH","5","10","10","w[1]","ess","2.7947587957107425"
"GMM","PG","MH","5","10","10","w[1]","r_hat","1.6853886971308412"
"GMM","PG","MH","5","10","10","w[2]","ess","2.7947587957107487"
"GMM","PG","MH","5","10","10","w[2]","r_hat","1.6853886971308374"
"GMM","PG","MH","5","10","10","z[1]","ess","24.234969354932772"
"GMM","PG","MH","5","10","10","z[1]","r_hat","1.0630370863191707"
"GMM","PG","MH","5","10","10","z[2]","ess","14.507021278977717"
"GMM","PG","MH","5","10","10","z[2]","r_hat","1.0549714802403916"
"GMM","PG","MH","5","10","10","z[3]","ess","5.607643885129119"
"GMM","PG","MH","5","10","10","z[3]","r_hat","1.191418591792811"
"GMM","PG","MH","5","10","10","z[4]","ess","120.43298928254734"
"GMM","PG","MH","5","10","10","z[4]","r_hat","1.0184430653562637"
"GMM","PG","MH","5","10","10","z[5]","ess","126.31302060499787"
"GMM","PG","MH","5","10","10","z[5]","r_hat","0.9899494936611666"
"GMM","PG","MH","5","10","10","z[6]","ess","14.653946035594743"
"GMM","PG","MH","5","10","10","z[6]","r_hat","1.0538817137927132"
"GMM","PG","MH","5","10","10","z[7]","ess","5.788772603280008"
"GMM","PG","MH","5","10","10","z[7]","r_hat","1.222471143028766"
"GMM","PG","MH","5","10","10","z[8]","ess","27.775203045906114"
"GMM","PG","MH","5","10","10","z[8]","r_hat","1.0249458278725863"
"GMM","PG","MH","5","10","10","z[9]","ess","5.974684096720464"
"GMM","PG","MH","5","10","10","z[9]","r_hat","1.1804490052579986"
"GMM","PG","MH","5","10","10","z[10]","ess","10.684694862621297"
